title,year,genre,country,avg_vote
Miss Jerry,1894,Romance,USA,5.9
The Story of the Kelly Gang,1906,"Biography, Crime, Drama",Australia,6.1
Den sorte drÃ¸m,1911,Drama,"Germany, Denmark",5.8
Cleopatra,1912,"Drama, History",USA,5.2
L'Inferno,1911,"Adventure, Drama, Fantasy",Italy,7
"From the Manger to the Cross; or, Jesus of Nazareth",1912,"Biography, Drama",USA,5.7
Madame DuBarry,1919,"Biography, Drama, Romance",Germany,6.8
Quo Vadis?,1913,"Drama, History",Italy,6.2
Independenta Romaniei,1912,"History, War",Romania,6.7
Richard III,1912,Drama,"France, USA",5.5
Atlantis,1913,Drama,Denmark,6.6
FantÃ´mas - Ã€ l'ombre de la guillotine,1913,"Crime, Drama",France,7
Il calvario di una madre,1913,Drama,Sweden,7.1
Juve contre FantÃ´mas,1913,"Crime, Drama",France,7
Ma l'amor mio non muore...,1914,Drama,Italy,6.2
Maudite soit la guerre,1914,"Drama, War",Belgium,6.5
Le mort qui tue,1913,"Crime, Drama, Mystery",France,7
Amore di madre,1914,Drama,USA,5.8
Lo studente di Praga,1913,"Drama, Fantasy, Horror",Germany,6.5
Traffic in Souls,1913,"Crime, Drama",USA,6
Gli ultimi giorni di Pompei,1913,"Adventure, Drama",Italy,6.2
Assunta Spina,1915,Drama,Italy,6.4
The Avenging Conscience: or 'Thou Shalt Not Kill',1914,"Crime, Drama, Horror",USA,6.4
The Bargain,1914,Western,USA,6.5
Cabiria,1914,"Adventure, Drama, History",Italy,7.1
Cinderella,1914,"Fantasy, Drama",USA,6
L'enfant de Paris,1913,"Crime, Drama",France,7.5
FantÃ´mas contre FantÃ´mas,1914,"Crime, Drama",France,6.9
A Florida Enchantment,1914,Comedy,USA,5.8
Der Golem,1915,Horror,Germany,6.8
Det hemmelighedsfulde X,1914,"Drama, Mystery",Denmark,7
"His Majesty, the Scarecrow of Oz",1914,"Family, Fantasy, Adventure",USA,5.2
Hypocrites,1915,Drama,USA,6.6
In the Land of the Head Hunters,1914,"Drama, History","USA, Canada",5.8
Judith of Bethulia,1914,Drama,USA,6.1
The Patchwork Girl of Oz,1914,"Adventure, Family, Fantasy",USA,5.5
The Perils of Pauline,1914,"Action, Adventure, Drama",USA,6.3
The Squaw Man,1914,"Action, Drama, Romance",USA,5.7
La madonnina del porto,1914,Drama,USA,6.1
Tillie's Punctured Romance,1914,Comedy,USA,6.3
A tolonc,1915,Drama,Hungary,6.3
Uncle Tom's Cabin,1914,Drama,USA,5.3
The Virginian,1914,Western,USA,5.6
The Wishing Ring: An Idyll of Old England,1914,"Comedy, Drama",USA,6.4
The Wrath of the Gods,1914,"Drama, Romance",USA,5.7
Alias Jimmy Valentine,1915,"Crime, Drama",USA,6.6
Alice in Wonderland,1915,"Adventure, Family, Fantasy",USA,6.2
Nascita di una nazione,1915,"Drama, History, War",USA,6.3
Carmen,1915,Drama,USA,6.4
The Cheat,1915,"Drama, Romance",USA,6.6
The Coward,1915,"Drama, History, War",USA,6
La vampira,1915,Drama,USA,5.8
The Golden Chance,1915,Drama,USA,6.4
HÃ¦vnens Nat,1916,"Crime, Drama, Horror",Denmark,6.8
The Italian,1915,Drama,USA,6.6
Maciste,1915,Adventure,Italy,5.9
Martyrs of the Alamo,1915,"Drama, History, War",USA,5.6
The Nigger,1915,Drama,USA,6.1
Posle smerti,1915,Drama,Russia,6.9
Rapsodia satanica,1917,"Drama, Fantasy, Horror",Italy,6.9
La rigenerazione,1915,"Biography, Crime, Drama",USA,6.8
I vampiri,1915,"Action, Adventure, Crime",France,7.3
Young Romance,1915,Comedy,USA,5.9
"20,000 Leagues Under the Sea",1916,"Action, Adventure, Sci-Fi",USA,6.2
The Children in the House,1916,Drama,USA,4.5
Civilization,1915,Drama,USA,6
The Devil's Needle,1916,Drama,USA,6.8
DÃ¶dskyssen,1916,"Comedy, Crime, Drama",Sweden,6.1
Flirting with Fate,1916,"Adventure, Comedy",USA,6.4
Going Straight,1916,"Crime, Drama",USA,5.3
The Good Bad-Man,1916,"Romance, Western",USA,6.6
Gretchen the Greenhorn,1916,"Crime, Drama, Romance",USA,5.7
The Half-Breed,1916,Western,USA,6.6
Hell's Hinges,1916,"Romance, Western",USA,6.8
His Picture in the Papers,1916,Comedy,USA,5.9
Hoodoo Ann,1916,"Comedy, Drama, Romance",USA,5.6
Intolerance,1916,"Drama, History",USA,7.8
Judex,1916,"Adventure, Crime",France,7.4
The Matrimaniac,1916,"Comedy, Romance",USA,6
Pikovaya dama,1916,"Drama, Fantasy, Horror",Russia,7
Reggie Mixes In,1916,"Action, Comedy, Drama",USA,4.7
The Return of Draw Egan,1916,"Action, Adventure, Romance",USA,6.5
Schuhpalast Pinkus,1916,Comedy,Germany,5.6
Sherlock Holmes,1916,Mystery,USA,6.4
Shoes,1916,Drama,USA,6.8
Snow White,1916,"Fantasy, Romance",USA,6.2
The Social Secretary,1916,"Comedy, Drama",USA,5.3
Vingarne,1916,Drama,Sweden,5.8
Where Are My Children?,1916,Drama,USA,6.3
'49-'17,1917,"Drama, Western",USA,5.9
Bucking Broadway,1917,Western,USA,6
Cleopatra,1917,"Biography, Drama, History",USA,6.5
Furcht,1917,Horror,Germany,6.1
A Girl's Folly,1917,Comedy,USA,6.1
L'astronave,1918,"Adventure, Fantasy, Sci-Fi",Denmark,6.5
Joan the Woman,1916,"Adventure, Drama, History",USA,6.5
The Little American,1917,"Drama, Romance, War",USA,5.9
The Little Princess,1917,Drama,USA,5.7
Desiderata,1917,Drama,France,6.4
A Modern Musketeer,1917,"Adventure, Comedy, Western",USA,6.7
Otets Sergiy,1918,"Biography, Drama, History",Russia,7.1
The Poor Little Rich Girl,1917,"Comedy, Drama, Family",USA,6.7
"Raffles, the Amateur Cracksman",1917,"Adventure, Crime, Romance",USA,6.4
Rebecca of Sunnybrook Farm,1917,"Comedy, Drama",USA,6.1
A Romance of the Redwoods,1917,"Adventure, Comedy, Drama",USA,5.7
Satana likuyushchiy,1917,Drama,Russia,6.9
Straight Shooting,1917,Western,USA,6.2
A Tale of Two Cities,1917,"Drama, History, Romance",USA,6
Terje Vigen,1917,"Drama, War",Sweden,7.4
Thomas Graals bÃ¤sta film,1917,Comedy,Sweden,6
Tillie Wakes Up,1917,Comedy,USA,4.8
Tom Sawyer,1917,"Adventure, Comedy, Drama",USA,6.1
TÃ¶sen frÃ¥n Stormyrtorpet,1917,Drama,Sweden,6.7
Wild and Woolly,1917,"Comedy, Western, Romance",USA,6.4
Amarilly of Clothes-Line Alley,1918,"Comedy, Romance",USA,5.8
Az aranyember,1919,Drama,Hungary,5.9
Gli occhi della mummia,1918,"Drama, Horror",Germany,5.5
I proscritti,1918,Drama,Sweden,7.3
L'uccello blu,1918,"Family, Fantasy",USA,7
Broadway Love,1918,Romance,USA,6
Sangue gitano,1918,Drama,Germany,6
La decima sinfonia,1918,Drama,France,5.9
L'allegra prigione,1917,Comedy,Germany,6.2
The Forbidden City,1918,"Drama, Romance",USA,5.4
Cuori del mondo,1918,"Drama, War",USA,6.4
Indemoniato,1918,Western,USA,6.1
Johanna Enlists,1918,"Comedy, Romance",USA,5.1
M'Liss,1918,"Comedy, Drama",USA,6.5
The Married Virgin,1918,Drama,USA,5.2
Mickey,1918,"Comedy, Drama",USA,5.9
Old Wives for New,1918,Drama,USA,6.4
A Pair of Silk Stockings,1918,"Comedy, Romance",USA,4.4
A Romance of Happy Valley,1919,"Drama, Romance",USA,6.1
Shifting Sands,1918,Drama,USA,5.1
Charlot soldato,1918,"Comedy, War",USA,7.3
Stella Maris,1918,Drama,USA,6.7
Tarzan of the Apes,1918,"Action, Adventure",USA,5.7
Tih Minh,1918,"Adventure, Mystery",France,7
The Unbeliever,1918,"Drama, War",USA,5.9
The Whispering Chorus,1918,Drama,USA,6.8
Anders als die Andern,1919,"Crime, Drama, History",Germany,7
Ravished Armenia,1919,"Drama, History, Romance",USA,5.9
La principessa delle ostriche,1919,Comedy,Germany,7.2
El automÃ³vil gris,1919,"Action, Crime",Mexico,7.1
Il ritorno al paradiso terrestre,1919,"Adventure, Romance, Western",Canada,6.3
Behind the Door,1919,"Drama, Thriller, War",USA,7.1
Mariti ciechi,1919,"Drama, Romance",USA,7
Giglio infranto,1919,"Drama, Romance",USA,7.3
The Busher,1919,"Drama, Sport",USA,5.7
Daddy-Long-Legs,1919,"Comedy, Drama",USA,6.5
The Delicious Little Devil,1919,"Comedy, Drama",USA,5.9
Don't Change Your Husband,1919,Comedy,USA,6.6
Eyes of Youth,1919,Drama,USA,5.3
"For Better, for Worse",1919,Drama,USA,5.4
Getting Mary Married,1919,Comedy,USA,6.5
The Greatest Question,1919,Drama,USA,5.8
The Grim Game,1919,"Adventure, Drama",USA,6.8
Harakiri,1919,Drama,Germany,5.6
Hawthorne of the U.S.A.,1919,"Adventure, Comedy, Romance",USA,3.9
Heart o' the Hills,1919,"Drama, Romance",USA,5.6
Il tesoro di Arne,1919,"Drama, History",Sweden,7.3
The Hoodlum,1919,Comedy,USA,6.7
Non vorrei essere un uomo,1918,"Comedy, Romance",Germany,6.9
IngmarssÃ¶nerna,1919,Drama,Sweden,6.9
Per la patria,1919,"Drama, Horror, War",France,7.7
Il gabinetto del dottor Caligari,1920,"Fantasy, Horror, Mystery",Germany,8.1
Male and Female,1919,"Adventure, Drama",USA,7
Meyer il berlinese,1919,Comedy,Germany,6
The Miracle Man,1919,Drama,USA,6.6
The Mother and the Law,1919,Drama,USA,6.9
Die Pest in Florenz,1919,"Drama, History, Horror",Germany,6.3
PrÃ¦sidenten,1919,Drama,Denmark,6.6
La bambola di carne,1919,"Comedy, Fantasy",Germany,7.4
The Roaring Road,1919,"Comedy, Drama, Sport",USA,5.2
Scarlet Days,1919,"Adventure, Romance, Western",USA,4.9
The Sentimental Bloke,1919,"Drama, Romance",Australia,6.3
"Il lago d'oro, ovvero I ragni",1919,"Adventure, Western",Germany,6.6
Il canto del fiore rosso,1919,"Drama, Romance",Sweden,6.9
Amore sulle labbra,1919,"Comedy, Drama, Romance",USA,7
Un affare misterioso,1919,"Fantasy, Horror, Mystery",Germany,6.5
Victory,1919,"Drama, Romance",USA,6.6
Wagon Tracks,1919,Western,USA,6.7
Quando le nuvole volano via,1919,"Action, Comedy, Romance",USA,6.9
The Wicked Darling,1919,"Drama, Crime",USA,6.4
Yankee Doodle in Berlin,1919,Comedy,USA,5.5
Algol - TragÃ¶die der Macht,1920,"Fantasy, Sci-Fi",Germany,6.3
Anna Bolena,1920,"Biography, Drama, Romance",Germany,6.6
April Folly,1920,"Drama, Crime",USA,6.4
L'atlantide,1921,"Adventure, Fantasy, Mystery","France, Belgium",6.7
Pagine dal libro di Satana,1920,Drama,Denmark,6.7
Dr. Jekyll e Mr. Hyde,1920,"Drama, Horror, Sci-Fi",USA,7
Erotikon,1920,"Comedy, Romance",Sweden,6.6
Fante-Anne,1920,"Crime, Drama, Romance",Norway,6.2
The Flapper,1920,Comedy,USA,6.6
Il cammino nella notte,1921,Drama,"Germany, Denmark",6.4
Genuine,1920,Horror,Germany,6
Il Golem - Come venne al mondo,1920,"Fantasy, Horror",Germany,7.2
Headin' Home,1920,"Biography, Comedy, Drama",USA,5.1
L'Hirondelle et la MÃ©sange,1924,Drama,France,7.1
